町コード,区,町名,総数,0-4歳,5-9歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85歳以上,世帯数
23880,葵区,北沼上,963,22,34,41,34,29,48,46,48,59,60,53,61,77,103,83,66,51,48,391
23890,葵区,長尾,260,7,10,4,8,10,11,18,12,7,9,13,17,26,30,12,12,19,35,128
23900,葵区,平山,283,6,7,6,12,8,8,5,15,18,20,11,18,28,29,20,32,18,22,121
24011,葵区,瀬名川一丁目,2652,149,151,119,116,118,140,182,210,235,213,128,123,152,206,163,108,85,54,1147
24012,葵区,瀬名川二丁目,2215,122,75,93,100,111,168,180,147,178,160,112,117,139,154,116,115,62,66,955
24013,葵区,瀬名川三丁目,1715,90,98,100,88,53,90,144,155,156,115,80,79,85,128,101,70,52,31,716
24100,葵区,瀬名,108,1,0,0,3,3,2,0,1,3,1,1,4,6,3,10,15,22,33,89
24101,葵区,瀬名一丁目,3281,111,131,134,177,175,160,180,192,238,221,179,178,229,313,248,188,121,106,1572
24102,葵区,瀬名二丁目,2014,98,104,93,88,102,104,128,119,179,139,118,120,117,185,111,104,58,47,831
24103,葵区,瀬名三丁目,2538,95,118,112,135,162,119,136,167,196,180,178,150,171,187,139,145,82,66,1039
24104,葵区,瀬名四丁目,554,15,24,22,24,16,30,34,22,51,40,30,36,43,55,45,30,20,17,230
24105,葵区,瀬名五丁目,1400,38,84,89,83,62,42,55,87,136,119,66,76,82,132,102,76,38,33,547
24106,葵区,瀬名六丁目,1682,70,95,86,99,103,106,103,111,161,118,115,104,86,123,76,64,37,25,687
24107,葵区,瀬名七丁目,1663,47,92,99,100,84,58,71,89,168,131,94,97,83,135,93,94,73,55,677
24111,葵区,瀬名中央一丁目,1473,62,66,66,58,61,73,98,91,140,114,66,81,90,143,103,79,40,42,632
24112,葵区,瀬名中央二丁目,925,29,34,28,41,39,28,51,63,72,62,55,59,54,89,92,67,35,27,428
24113,葵区,瀬名中央三丁目,1451,56,86,77,69,61,61,63,116,126,97,66,73,73,112,93,82,74,66,648
24114,葵区,瀬名中央四丁目,790,35,35,27,41,48,40,45,52,64,68,55,51,36,57,58,42,14,22,325
24120,葵区,東瀬名町,711,18,34,52,49,23,11,16,41,72,64,46,33,33,61,61,44,29,24,283
24130,葵区,南瀬名町,1195,43,43,49,41,54,61,83,71,97,89,70,60,70,111,89,84,37,43,541
24140,葵区,西瀬名町,1329,61,31,47,53,49,76,92,88,85,80,61,84,76,143,95,101,54,53,648
24200,葵区,池ヶ谷,458,14,15,19,29,25,27,25,23,30,33,29,48,30,40,19,24,13,15,197
24201,葵区,池ヶ谷東,859,27,30,26,50,45,36,45,47,62,63,61,48,53,67,59,44,55,41,391
24210,葵区,南,744,16,27,30,43,24,26,32,42,48,42,56,47,76,86,45,40,25,39,290
24211,葵区,唐瀬一丁目,1515,54,52,62,72,86,70,78,80,103,122,108,135,120,128,88,60,59,38,656
24212,葵区,唐瀬二丁目,981,40,61,71,40,29,27,40,76,100,78,64,34,56,90,54,62,39,20,399
24213,葵区,唐瀬三丁目,373,9,9,16,21,20,14,19,13,21,19,29,39,22,40,18,27,21,16,140
24220,葵区,有永,622,30,33,26,27,18,27,43,28,42,35,33,42,45,61,34,36,28,34,243
24231,葵区,羽高町※秘11,300,13,8,14,8,15,16,15,13,22,15,13,22,30,30,25,13,6,22,120
24232,葵区,あさはた一丁目,1199,18,42,61,70,60,35,54,60,88,72,71,51,97,136,91,98,71,24,614
24233,葵区,あさはた二丁目,407,10,23,17,17,16,14,17,31,32,20,25,26,19,60,28,21,17,14,167
24240,葵区,北,113,1,1,2,1,3,3,2,5,5,7,5,9,10,20,17,14,5,3,67
24241,葵区,北一丁目,786,30,39,34,35,31,46,53,31,63,53,44,56,50,68,53,43,24,33,316
24242,葵区,北二丁目,1068,24,31,58,44,32,41,34,59,86,81,51,60,67,138,115,71,42,34,452
24243,葵区,北三丁目,1530,48,53,58,59,42,63,79,88,95,96,72,77,115,182,139,127,66,71,695
24244,葵区,北四丁目,902,18,33,43,47,40,30,33,47,85,55,40,46,80,125,80,53,25,22,367
24245,葵区,北五丁目,1021,37,44,53,42,49,51,56,66,95,67,69,74,83,101,49,46,20,19,404
24250,葵区,東,73,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,13,43,72
24251,葵区,東一丁目,846,18,18,27,32,33,33,36,28,49,71,47,44,71,101,79,77,40,42,356
24252,葵区,東二丁目,599,26,26,31,26,24,21,34,40,31,42,46,47,45,56,34,24,27,19,221
24260,葵区,岳美,1278,45,56,56,62,61,54,75,70,101,94,87,81,75,115,92,69,43,42,540
24261,葵区,岳美一丁目,571,21,26,24,24,37,22,28,41,48,40,39,34,42,43,38,31,13,20,249
24270,葵区,芝原,27,2,1,1,0,2,2,2,3,0,1,0,1,4,4,1,2,0,1,8
24280,葵区,赤松※秘1,11,0,0,0,0,1,0,1,0,0,0,1,2,0,2,0,0,1,3,5
24290,葵区,漆山※秘2,111,17,10,4,7,5,11,13,18,7,4,4,5,4,0,1,1,0,0,57
24345,葵区,薬師※秘3,42,3,1,0,0,0,1,3,3,5,5,4,1,0,8,0,5,0,3,26
24401,葵区,昭府一丁目※秘4,1393,65,49,49,74,51,75,78,90,85,109,98,102,86,107,76,97,42,60,582
24402,葵区,昭府二丁目,1504,63,67,88,69,76,67,99,89,112,116,113,90,104,106,56,78,65,46,590
24411,葵区,新伝馬一丁目,682,30,32,28,30,27,35,36,39,76,49,41,37,39,51,52,40,21,19,287
24412,葵区,新伝馬二丁目,1156,77,52,60,54,55,56,86,90,71,103,79,70,60,69,44,51,55,24,461
24413,葵区,新伝馬三丁目,1148,60,51,46,43,65,60,54,80,82,77,85,76,56,89,57,70,49,48,461
24415,葵区,上伝馬,1967,103,73,89,90,106,119,133,125,130,159,117,99,129,149,106,105,70,65,845
24420,葵区,伊呂波町,245,9,10,8,8,13,15,15,13,9,17,17,16,12,25,21,15,12,10,111
24430,葵区,堤町,264,9,15,14,16,12,9,10,20,11,17,18,23,25,18,12,10,8,17,118
24440,葵区,秋山町,889,27,17,33,33,33,24,39,41,49,58,62,60,76,82,51,67,66,71,395
24451,葵区,与一一丁目,1171,59,79,78,62,49,38,75,83,118,92,77,57,51,73,51,68,34,27,445
24452,葵区,与一二丁目,739,20,27,55,54,46,35,36,30,70,69,46,34,37,43,36,44,34,23,295
24453,葵区,与一三丁目,1013,46,61,73,46,41,34,57,66,96,72,52,37,60,82,78,47,34,31,401
24454,葵区,与一四丁目,855,37,45,42,44,34,40,47,55,75,63,49,52,45,65,46,59,33,24,348
24455,葵区,与一五丁目,1049,48,45,50,51,38,67,59,66,94,85,50,51,71,116,60,50,27,21,434
24456,葵区,与一六丁目,706,31,31,33,30,32,14,48,38,71,49,40,50,55,76,41,28,18,21,319
24460,葵区,松富上組,318,34,38,23,17,6,7,32,32,38,28,10,3,10,10,10,8,9,3,98
24461,葵区,松富一丁目,1686,69,71,63,74,74,86,94,86,142,107,102,95,109,165,116,116,68,49,803
24462,葵区,松富二丁目,1141,62,45,50,59,37,84,92,95,76,76,57,63,69,92,65,60,33,26,479
24463,葵区,松富三丁目,638,22,38,31,35,22,34,41,35,61,31,38,49,50,54,29,21,27,20,256
24464,葵区,松富四丁目,533,14,23,24,29,27,25,19,27,37,42,32,27,42,61,42,24,13,25,223
24471,葵区,桜町一丁目,1323,64,77,72,65,54,57,63,91,101,110,96,73,65,99,79,70,47,40,551
24472,葵区,桜町二丁目,929,50,46,36,65,59,37,48,37,67,80,65,51,49,56,51,62,34,36,383
24600,葵区,福田ヶ谷,557,14,27,29,29,15,19,21,28,39,48,29,32,36,64,51,41,17,18,217
24610,葵区,下,1100,27,44,49,47,47,44,54,49,70,65,80,73,85,113,81,76,43,53,402
24620,葵区,門屋,298,10,10,11,15,17,10,14,15,18,27,23,16,19,29,13,12,19,20,105
24630,葵区,牛妻,1319,27,56,62,54,49,41,52,67,82,96,67,88,103,133,118,89,63,72,509
24640,葵区,郷島,236,4,9,9,9,10,6,11,5,9,17,21,22,17,22,13,18,11,23,96
24650,葵区,野田平,70,1,0,3,0,2,3,4,5,3,3,2,1,10,13,3,4,3,10,26
24660,葵区,俵沢,294,7,5,8,7,10,13,8,13,11,20,24,24,16,32,29,31,17,19,116
24670,葵区,油島,53,0,0,1,1,2,4,0,4,4,1,3,3,5,3,5,3,4,10,21
24680,葵区,俵峰,129,1,3,5,3,1,2,9,9,5,7,4,9,19,17,11,4,7,13,50
27000,葵区,牧ヶ谷,1690,88,55,53,61,73,115,140,131,117,104,90,102,101,168,116,90,36,50,728
27010,葵区,産女,462,12,13,20,17,16,19,19,15,30,32,18,28,40,58,58,29,19,19,188
27020,葵区,吉津,595,11,18,12,17,24,19,23,15,36,24,31,22,64,70,40,56,51,62,311
27030,葵区,飯間,594,17,22,15,20,20,15,30,34,46,46,53,40,56,55,43,39,23,20,272
27040,葵区,小瀬戸,284,3,8,7,19,15,12,9,9,8,15,21,37,22,29,18,9,20,23,106
27050,葵区,西又,44,3,1,2,1,1,1,2,2,1,0,4,7,5,4,0,1,2,7,16
27060,葵区,富厚里,522,8,10,16,21,14,19,27,25,31,24,18,34,46,84,46,42,29,28,216
27070,葵区,小布杉,94,1,0,0,2,2,4,4,2,1,1,7,9,12,15,6,7,8,13,47
27080,葵区,奈良間,89,0,2,3,5,3,6,0,0,5,5,4,11,8,8,6,6,10,7,37
27090,葵区,富沢,382,9,10,6,14,10,6,16,16,17,17,11,23,21,33,22,34,39,78,202
27201,葵区,山崎一丁目,803,30,21,15,42,30,34,46,49,59,54,46,52,52,79,61,52,41,40,349
27202,葵区,山崎二丁目,876,34,25,22,41,36,53,53,38,48,71,58,60,74,71,55,54,45,38,400
27210,葵区,千代,28,1,3,1,2,1,1,1,2,1,1,5,0,1,3,1,1,2,1,7
27211,葵区,千代一丁目,1090,30,52,56,36,42,54,59,65,99,81,52,76,97,95,72,57,37,30,494
27212,葵区,千代二丁目,1257,55,42,76,50,53,61,71,101,101,87,61,91,82,124,68,52,42,40,527
27220,葵区,慈悲尾,425,8,14,16,16,20,25,19,19,24,39,34,32,38,39,34,21,15,12,206
27231,葵区,建穂一丁目,1050,52,70,61,55,53,62,57,82,90,78,58,38,55,76,71,44,30,18,404
27232,葵区,建穂二丁目,1049,48,46,50,59,65,53,63,73,71,93,64,54,56,88,65,36,37,28,421
27241,葵区,羽鳥一丁目,908,35,22,39,42,53,39,35,51,71,81,69,46,44,67,72,61,44,37,375
27242,葵区,羽鳥二丁目,1116,54,43,44,52,49,57,77,68,101,86,56,55,70,80,57,86,41,40,525
27243,葵区,羽鳥三丁目,1229,40,66,63,54,59,45,61,87,112,87,83,48,84,120,67,69,48,36,520
27244,葵区,羽鳥四丁目,1241,40,49,50,56,52,46,54,56,90,111,66,77,65,107,112,105,70,35,514
27245,葵区,羽鳥五丁目,1795,67,91,70,92,92,80,118,117,128,141,118,101,92,154,103,109,82,40,731
27246,葵区,羽鳥六丁目,2197,124,144,134,111,108,97,128,181,190,149,114,109,132,163,101,106,55,51,810
27247,葵区,羽鳥七丁目,1424,63,69,56,65,69,69,68,102,108,91,88,92,90,128,86,71,51,58,563
27250,葵区,羽鳥大門町,1090,46,33,42,62,45,40,62,53,74,94,66,41,53,87,101,100,51,40,447
27260,葵区,羽鳥本町,1142,30,54,56,63,30,47,58,59,96,87,63,72,69,126,62,71,46,53,468
27300,葵区,新間,2283,65,72,91,115,90,89,77,117,151,177,121,154,152,219,215,178,107,93,919
27310,葵区,谷津,371,6,5,9,9,15,9,16,15,20,30,17,15,40,49,43,31,18,24,169
27320,葵区,大原,950,35,35,43,33,35,27,60,47,59,44,47,52,102,101,71,62,41,56,350
27330,葵区,水見色,456,8,6,12,24,17,20,19,16,19,14,15,42,46,35,25,26,39,73,200
27400,葵区,与左衛門新田,565,8,11,17,24,22,19,17,31,20,46,23,31,43,71,39,37,36,70,265
27410,葵区,西ヶ谷,190,1,3,4,9,9,11,7,6,8,10,16,11,19,31,9,9,8,19,72
27420,葵区,安倍口新田,1417,46,63,64,63,65,50,63,79,99,114,81,81,104,155,93,116,51,30,545
27430,葵区,安倍口団地,2163,24,42,60,78,61,47,50,94,123,137,116,97,156,325,265,221,174,93,1293
27450,葵区,幸庵新田,432,22,21,17,16,12,16,12,21,45,34,14,17,26,55,45,36,11,12,162
27460,葵区,内牧,2025,53,79,74,75,70,69,85,85,135,139,116,115,140,207,150,193,115,125,858
27470,葵区,中ノ郷,258,8,5,5,7,13,7,7,10,15,16,15,9,26,45,28,20,12,10,107
27480,葵区,遠藤新田,1018,23,40,32,26,38,30,33,71,68,56,56,65,88,101,94,80,59,58,421
27490,葵区,足久保口組,3444,110,193,220,162,95,106,156,219,331,254,147,155,236,368,257,188,111,136,1289
27500,葵区,足久保奥組,568,13,10,11,29,17,16,27,28,33,20,33,46,61,56,54,25,33,56,237
27510,葵区,油山,626,16,26,18,37,30,30,24,31,28,33,39,56,57,56,36,41,31,37,220
27520,葵区,松野,554,14,18,13,22,13,22,25,25,30,31,35,33,60,55,48,38,33,39,219
27530,葵区,津渡野,101,1,1,2,6,2,2,4,8,7,9,3,4,11,13,13,7,5,3,47
28000,葵区,赤沢,65,2,1,4,4,0,0,3,1,1,9,2,3,3,6,6,11,4,5,29
28010,葵区,寺島,84,0,3,0,3,5,3,5,0,3,8,3,8,7,7,2,5,8,14,34
28020,葵区,鍵穴,137,4,3,2,4,5,2,2,9,9,8,7,11,8,15,12,6,13,17,59
28030,葵区,坂本,125,1,2,2,4,6,0,4,3,7,6,6,13,17,10,7,10,11,16,48
28040,葵区,小島,41,0,0,0,0,0,0,3,1,0,2,0,2,7,9,1,5,3,8,21
28050,葵区,昼居渡,87,0,5,1,0,1,4,5,5,1,3,4,11,9,11,2,5,8,12,42
28060,葵区,相俣,244,4,12,13,9,5,9,12,15,11,14,16,20,16,23,19,15,12,19,99
28070,葵区,黒俣,303,2,4,4,10,9,9,8,14,6,15,13,22,40,40,24,23,24,36,141
28080,葵区,杉尾,42,2,2,5,3,1,1,0,2,1,2,2,4,4,1,0,5,1,6,15
28100,葵区,坂ノ上,276,8,2,3,4,9,4,10,14,6,12,17,16,32,27,26,25,20,41,136
28110,葵区,栃沢,72,0,0,0,0,2,1,1,0,2,1,4,8,10,11,2,7,8,15,36
28120,葵区,日向,238,2,8,9,12,8,11,10,4,16,10,12,19,12,27,18,19,16,25,113
28130,葵区,湯ノ島,45,0,0,0,0,0,0,0,1,1,3,0,3,3,7,5,8,6,8,28
28140,葵区,諸子沢,73,2,1,2,1,3,3,2,0,6,2,5,2,3,11,9,7,6,8,29
28150,葵区,楢尾,19,0,0,0,0,0,1,0,0,0,0,0,0,2,7,2,1,3,3,10
28160,葵区,大間,17,0,0,0,0,0,0,1,0,0,0,0,5,1,0,3,1,5,1,10
28170,葵区,崩野,26,0,0,0,0,0,0,1,0,0,0,0,1,0,4,4,8,5,3,17
28200,葵区,中沢,76,0,0,5,6,1,3,2,2,4,5,5,8,5,9,4,5,8,4,26
28201,葵区,桂山,177,1,2,2,7,9,6,1,4,2,10,16,15,14,13,14,23,10,28,84
28202,葵区,落合,180,4,1,4,0,4,11,2,7,11,3,9,24,20,20,9,16,12,23,86
28203,葵区,森腰,56,1,5,3,2,0,1,4,2,2,7,0,3,5,7,3,4,1,6,23
28204,葵区,長熊,93,0,0,3,4,1,2,3,0,4,5,5,9,12,12,7,8,12,6,46
28205,葵区,奥池ヶ谷,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,2,5,11
28206,葵区,柿島,75,0,1,0,1,0,1,6,2,5,0,1,5,14,10,4,5,11,9,30
28207,葵区,長妻田,51,0,0,2,0,0,4,3,0,4,0,2,8,8,7,2,2,4,5,25
28208,葵区,油野,7,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,2,4
28209,葵区,上落合,24,0,0,0,0,0,0,0,0,3,1,1,1,1,8,1,1,3,4,11
28210,葵区,口仙俣,9,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,4,6
28211,葵区,奥仙俣,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,3,7
28212,葵区,内匠,91,1,0,2,4,2,4,6,2,3,6,4,5,7,9,8,9,3,16,39
28213,葵区,腰越,55,0,0,2,0,2,2,0,0,5,3,1,10,4,2,11,7,1,5,26
28214,葵区,横沢,31,0,0,0,0,0,0,1,0,0,0,2,2,4,5,2,2,6,7,20
28215,葵区,大沢,83,0,4,4,3,1,2,2,5,2,3,6,7,10,5,4,4,7,14,27
28300,葵区,相淵,40,1,0,1,3,1,1,0,3,3,2,2,0,3,7,3,5,2,3,16
28310,葵区,蕨野,25,0,0,1,2,1,1,0,2,0,3,2,1,2,2,0,3,1,4,11
28320,葵区,横山,77,1,2,1,2,4,4,2,2,3,3,5,9,5,6,6,8,5,9,27
28330,葵区,平野,183,5,2,9,3,5,7,7,7,10,7,3,16,20,22,14,7,19,20,69
28340,葵区,中平,47,0,0,0,0,1,2,2,0,1,1,1,2,4,8,4,8,7,6,23
28350,葵区,渡,132,0,0,3,10,4,3,1,3,5,6,3,14,5,9,15,21,15,15,61
28360,葵区,有東木,177,2,0,1,3,2,7,8,8,4,3,8,17,20,22,9,19,24,20,75
28400,葵区,入島,125,0,1,7,9,4,8,2,3,4,7,13,9,8,7,7,11,12,13,52
28410,葵区,梅ヶ島,398,12,11,7,13,13,8,14,10,13,21,21,31,33,48,26,44,31,42,181
28500,葵区,口坂本,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,4,4,9
28510,葵区,井川,356,2,4,3,3,14,11,15,9,11,20,18,21,27,37,28,45,41,47,209
28520,葵区,岩崎,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,4,9
28530,葵区,上坂本,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,2,3,9
28540,葵区,田代,95,0,1,2,4,3,0,2,1,1,8,2,6,12,6,8,11,14,14,56
28550,葵区,小河内,33,0,0,0,0,0,0,1,1,0,0,0,2,6,2,2,5,9,5,22
21683,駿河区,南安倍三丁目,778,30,46,35,36,28,36,48,59,77,48,46,33,34,70,35,35,47,35,367
24000,駿河区,弥生町,108,2,3,3,3,2,3,1,8,5,10,6,11,7,10,10,8,5,11,59
24800,駿河区,宮本町,929,29,49,47,29,37,29,45,62,78,72,67,47,65,97,46,47,40,43,425
24811,駿河区,新川一丁目,1001,44,36,40,32,42,57,58,65,61,58,64,59,63,76,65,62,51,68,476
24812,駿河区,新川二丁目,1317,83,61,38,51,49,59,88,107,88,100,78,91,97,96,58,62,44,67,599
24820,駿河区,寿町,1273,45,35,43,49,51,78,85,82,80,89,81,99,99,88,71,71,59,68,606
24830,駿河区,見瀬,1238,45,46,51,45,60,84,97,80,100,91,73,84,73,86,60,64,53,46,590
24840,駿河区,中原,3635,135,194,234,223,178,158,219,267,340,355,248,196,184,224,156,136,103,85,1511
24850,駿河区,津島町,966,41,49,47,43,50,39,49,65,84,92,88,54,51,58,54,41,32,29,435
24861,駿河区,西中原一丁目,575,10,25,23,23,24,25,21,33,33,34,41,40,40,59,51,27,42,24,299
24862,駿河区,西中原二丁目,609,22,30,26,23,21,31,29,43,55,46,39,56,45,49,30,24,23,17,273
24870,駿河区,緑が丘町,915,32,26,27,56,48,37,48,39,57,66,76,58,71,81,52,48,44,49,388
24880,駿河区,中野新田,1513,58,52,67,73,77,72,86,59,78,155,119,69,78,98,96,104,100,72,632
24890,駿河区,中村町,1203,50,60,63,58,62,59,83,93,70,113,94,69,70,62,60,63,44,30,497
25000,駿河区,中島,7153,215,231,299,366,376,405,356,388,590,614,518,449,450,581,424,396,280,215,3202
25040,駿河区,西脇,5236,204,233,237,251,224,283,310,376,448,450,346,288,317,415,276,265,168,145,2258
25080,駿河区,西島,4282,143,167,182,183,178,243,250,311,373,377,236,221,256,358,298,228,145,133,1954
25120,駿河区,下島,3597,166,174,162,152,181,210,251,250,299,300,215,211,205,259,198,159,111,94,1597
25200,駿河区,南町,1276,38,29,49,22,56,99,82,81,88,118,109,91,81,106,75,49,48,55,754
25210,駿河区,泉町,927,30,16,22,34,51,80,80,56,56,63,61,54,71,76,57,43,38,39,537
25221,駿河区,馬渕一丁目,1022,31,36,33,36,30,31,55,45,77,85,76,68,82,79,81,72,51,54,471
25222,駿河区,馬渕二丁目,1520,53,40,34,46,81,131,106,112,89,102,97,98,119,126,81,63,63,79,832
25223,駿河区,馬渕三丁目,1787,80,60,58,57,75,106,125,129,125,134,106,103,129,140,101,90,85,84,867
25224,駿河区,馬渕四丁目,1508,54,53,77,69,82,80,84,99,121,132,78,120,78,100,72,67,63,79,726
25231,駿河区,稲川一丁目,899,40,25,10,28,44,67,84,77,75,68,59,65,55,73,36,35,29,29,506
25232,駿河区,稲川二丁目,484,26,14,8,9,18,30,51,38,36,40,32,22,23,45,26,11,25,30,258
25233,駿河区,稲川三丁目,593,12,12,35,24,48,40,31,31,39,52,45,36,31,45,33,31,21,27,317
25241,駿河区,中田一丁目,1302,50,39,51,54,38,71,93,84,100,87,79,95,108,97,84,52,44,76,601
25242,駿河区,中田二丁目,1671,75,106,79,75,71,75,92,143,153,182,95,94,90,118,62,57,47,57,777
25243,駿河区,中田三丁目,1473,158,77,52,47,60,152,190,102,92,74,76,75,54,63,42,66,47,46,611
25244,駿河区,中田四丁目,1140,41,46,43,56,63,61,56,63,88,114,99,78,85,73,51,52,40,31,495
25245,駿河区,中田本町,3634,155,159,165,154,148,220,227,247,270,321,226,211,207,223,185,218,167,131,1625
25250,駿河区,大坪町,776,38,28,33,28,44,40,50,60,59,56,45,51,42,62,26,34,37,43,381
25261,駿河区,石田一丁目,1165,87,60,40,38,39,77,98,108,97,74,62,76,60,58,47,41,49,54,487
25262,駿河区,石田二丁目,927,26,39,32,45,46,36,40,53,58,64,62,61,58,72,59,57,52,67,417
25263,駿河区,石田三丁目,1370,57,79,71,57,53,65,83,100,111,101,82,84,81,88,83,64,56,55,608
25400,駿河区,森下町,210,4,5,3,7,11,20,16,12,22,21,13,13,9,17,14,8,4,11,133
25411,駿河区,八幡一丁目,414,9,4,8,13,26,34,25,21,26,23,32,22,28,40,25,24,29,25,219
25412,駿河区,八幡二丁目,730,15,19,24,28,34,44,24,47,48,41,47,54,49,71,47,40,46,52,366
25413,駿河区,八幡三丁目※秘9,1137,35,27,45,59,57,81,46,66,70,107,84,79,69,102,48,68,49,45,569
25414,駿河区,八幡四丁目,937,45,57,25,19,34,39,63,65,70,53,66,66,71,60,36,46,53,69,447
25415,駿河区,八幡五丁目,1497,57,68,55,47,70,95,77,93,110,123,91,84,113,103,86,83,67,75,693
25420,駿河区,南八幡町,1075,53,44,30,39,68,53,71,62,76,63,67,62,62,79,72,75,52,47,463
25441,駿河区,大和一丁目,657,23,26,19,24,34,38,42,33,53,46,48,37,41,53,31,33,29,47,310
25442,駿河区,大和二丁目,644,16,18,21,22,37,36,34,46,42,56,42,37,45,70,37,32,36,17,351
25450,駿河区,さつき町,641,22,12,11,18,25,36,50,32,31,29,32,56,56,77,49,50,25,30,310
25460,駿河区,豊原町,463,12,13,16,22,34,31,17,27,28,34,29,41,28,30,33,25,20,23,213
25471,駿河区,小黒一丁目,781,33,18,20,30,33,45,60,41,54,58,50,58,66,68,39,47,29,32,389
